broker_name,ap_code,exchange_name,reference_link,status,notes
ASHLAR SECURITIES PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASHOK DHIRAJLAL DALAL,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASHOK KUMAR KISHORILAL DAMANI,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASHOK SUNDERLAL,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASIAN BROKING PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASIAN MARKETS SECURITIES PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASIATIC STOCK & SECURITIES LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASIT C.MEHTA INVESTMENT INTERRMEDIATES LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASSOCIATED STOCK BROKING PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASTHA CREDIT & SECURITIES PVT. LTD.,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASTITVA CAPITAL MARKET PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
ASTUTE INVESTMENT MANAGEMENT PRIVATE LIMITED,,BSE,https://www.bseindia.com/members/MembershipDirectory.aspx,SEBI_LISTED,SEBI recognised intermediary registry snapshot generated on 2026-03-20.
